Yıl,Ay No,İlçe,Dogalgaz Tüketim Miktarı (m3)
2017,4,BAHÇELİEVLER,18728131.766
2017,5,BAHÇELİEVLER,8576889.691
2017,6,BAHÇELİEVLER,5648814.492
2017,7,BAHÇELİEVLER,5251272.393
2017,8,BAHÇELİEVLER,5044124.234
2017,9,BAHÇELİEVLER,5367731.348
2017,10,BAHÇELİEVLER,9905769.34
2017,11,BAHÇELİEVLER,21277256.611
2017,12,BAHÇELİEVLER,26229857.454
2018,1,BAHÇELİEVLER,40455849.902
2018,2,BAHÇELİEVLER,32362782.969
2018,3,BAHÇELİEVLER,30301214.887
2018,4,BAHÇELİEVLER,13996564.88
2018,5,BAHÇELİEVLER,7982141.119
2018,6,BAHÇELİEVLER,5407653.998
2018,7,BAHÇELİEVLER,5218301.628
2018,8,BAHÇELİEVLER,4359386.015
2018,9,BAHÇELİEVLER,5696460.758
2018,10,BAHÇELİEVLER,8438168.171
2018,11,BAHÇELİEVLER,20190515.943
2018,12,BAHÇELİEVLER,39015667.162
2019,1,BAHÇELİEVLER,42566790.691
2019,2,BAHÇELİEVLER,34319424.78
2019,3,BAHÇELİEVLER,29428327.071
2019,4,BAHÇELİEVLER,20261291.06
2019,5,BAHÇELİEVLER,8375360.974
2019,6,BAHÇELİEVLER,5045770.543
2019,7,BAHÇELİEVLER,5469726.873
2019,8,BAHÇELİEVLER,4694241.049
2019,9,BAHÇELİEVLER,5806652.167
2019,10,BAHÇELİEVLER,7445056.831
2019,11,BAHÇELİEVLER,11281334.31
2019,12,BAHÇELİEVLER,29159332.024
2020,1,BAHÇELİEVLER,40864137.235
2020,2,BAHÇELİEVLER,33614840.292
2020,3,BAHÇELİEVLER,28100961.459
2020,4,BAHÇELİEVLER,17635815.801
2020,5,BAHÇELİEVLER,7558502.659
2020,6,BAHÇELİEVLER,6149746.482
2020,7,BAHÇELİEVLER,5071198.189
2020,8,BAHÇELİEVLER,4964534.148
2020,9,BAHÇELİEVLER,5591056.574
2020,10,BAHÇELİEVLER,6799946.173
2020,11,BAHÇELİEVLER,20289623.511
2020,12,BAHÇELİEVLER,28009620.93
2021,1,BAHÇELİEVLER,32642656.036
2021,2,BAHÇELİEVLER,31219282.278
2021,3,BAHÇELİEVLER,35647634.671
2021,4,BAHÇELİEVLER,22540027.382
2021,5,BAHÇELİEVLER,7548134.278
2021,6,BAHÇELİEVLER,6636480.538
2021,7,BAHÇELİEVLER,4946256.219
2021,8,BAHÇELİEVLER,5282617.143
